node->nodeId,packet_send,packet_recv,packetSize_send,packetSize_recv,sendToRecv_delay,generateToRecv_delay,cache_hitTimes,packet_lostTimes,interestPacket_send,dataPacket_send,interestPacket_recv,dataPacket_recv,distRequestPacket_send,distAnswerPacket_send,distRequestPacket_recv,distAnswerPacket_recv,fakeInterest_send,fakeData_send,fakeInterest_recv,fakeData_recv,cs_size
1,8701,8784,12703460,263520,0,30828723517,0,0,0,8701,8784,0,0,0,0,0,0,0,0,0,0
2,22757,22915,20662670,13129880,0,3096916736248,351,0,8785,13972,14214,8701,0,0,0,0,0,0,0,0,1460000
3,7607,7630,6242790,4979360,0,3153838476798,33,0,3401,4206,4308,3322,0,0,0,0,0,0,0,0,1460000
4,12512,12628,12354470,6184640,0,3233207249884,180,0,4135,8377,8568,4060,0,0,0,0,0,0,0,0,1460000
5,6116,6116,4562140,4460610,0,3169006192328,46,0,3054,3062,3125,2991,0,0,0,0,0,0,0,0,1460000
6,7512,7535,6172730,4910730,0,3171864637217,19,0,3353,4159,4259,3276,0,0,0,0,0,0,0,0,1460000
7,7347,7372,6083410,4761410,0,3161872056194,72,0,3247,4100,4197,3175,0,0,0,0,0,0,0,0,1460000
8,7378,7396,6107220,4787870,0,3187985327802,70,0,3262,4116,4203,3193,0,0,0,0,0,0,0,0,1460000
9,13313,13433,13549670,6193060,0,3347718399149,177,0,4117,9196,9384,4049,0,0,0,0,0,0,0,0,1460000
10,21218,21426,21232830,10268110,0,3250129520061,256,0,6815,14403,14695,6731,0,0,0,0,0,0,0,0,1460000
11,10449,10519,9538400,5919740,0,3100003812248,72,0,3998,6451,6600,3919,0,0,0,0,0,0,0,0,1460000
12,1075,1030,32250,1503800,0,1023831648718,0,0,1075,0,0,1030,0,0,0,0,0,0,0,0,0
13,1085,1041,32550,1519860,0,1024526623524,0,0,1085,0,0,1041,0,0,0,0,0,0,0,0,0
14,1119,1074,33570,1568040,0,1009748388039,0,0,1119,0,0,1074,0,0,0,0,0,0,0,0,0
15,1067,1021,32010,1490660,0,1025897720880,0,0,1067,0,0,1021,0,0,0,0,0,0,0,0,0
16,1152,1105,34560,1613300,0,1026876507019,0,0,1152,0,0,1105,0,0,0,0,0,0,0,0,0
17,1045,1000,31350,1460000,0,1013677426121,0,0,1045,0,0,1000,0,0,0,0,0,0,0,0,0
18,1090,1042,32700,1521320,0,1028793911369,0,0,1090,0,0,1042,0,0,0,0,0,0,0,0,0
19,1008,965,30240,1408900,0,1029959938296,0,0,1008,0,0,965,0,0,0,0,0,0,0,0,0
20,1058,1015,31740,1481900,0,1009778391716,0,0,1058,0,0,1015,0,0,0,0,0,0,0,0,0
21,991,952,29730,1389920,0,1029381888364,0,0,991,0,0,952,0,0,0,0,0,0,0,0,0
22,1092,1047,32760,1528620,0,1036874727585,0,0,1092,0,0,1047,0,0,0,0,0,0,0,0,0
23,1077,1035,32310,1511100,0,1013343002198,0,0,1077,0,0,1035,0,0,0,0,0,0,0,0,0
24,1076,1029,32280,1502340,0,1033536830232,0,0,1076,0,0,1029,0,0,0,0,0,0,0,0,0
25,1047,1002,31410,1462920,0,1029075260642,0,0,1047,0,0,1002,0,0,0,0,0,0,0,0,0
26,1100,1056,33000,1541760,0,1010168185570,0,0,1100,0,0,1056,0,0,0,0,0,0,0,0,0
27,1077,1032,32310,1506720,0,1027259587690,0,0,1077,0,0,1032,0,0,0,0,0,0,0,0,0
28,1032,986,30960,1439560,0,1027568447600,0,0,1032,0,0,986,0,0,0,0,0,0,0,0,0
29,977,934,29310,1363640,0,1011323902891,0,0,977,0,0,934,0,0,0,0,0,0,0,0,0
30,1150,1105,34500,1613300,0,1025613955580,0,0,1150,0,0,1105,0,0,0,0,0,0,0,0,0
31,1074,1029,32220,1502340,0,1028564092128,0,0,1074,0,0,1029,0,0,0,0,0,0,0,0,0
