node->nodeId,packet_send,packet_recv,packetSize_send,packetSize_recv,sendToRecv_delay,generateToRecv_delay,cache_hitTimes,packet_lostTimes,interestPacket_send,dataPacket_send,interestPacket_recv,dataPacket_recv,distRequestPacket_send,distAnswerPacket_send,distRequestPacket_recv,distAnswerPacket_recv,fakeInterest_send,fakeData_send,fakeInterest_recv,fakeData_recv,cs_size
1,8121,5667,11856660,170010,0,27288360,0,0,0,8121,5667,0,0,0,0,0,0,0,0,0,0
2,19185,14277,19906290,12041340,0,25700821297443,483,0,5667,13518,6156,8121,0,0,0,0,0,0,0,0,1460000
3,4664,3846,5881370,4552670,0,25708494811363,93,0,649,4015,743,3103,0,0,0,0,0,0,0,0,943160
4,10265,6175,12545890,6135480,0,25716278148158,302,0,1707,8558,2014,4161,0,0,0,0,0,0,0,0,1460000
5,3663,3663,4542890,4424200,0,25723955893078,83,0,563,3100,646,3017,0,0,0,0,0,0,0,0,817600
6,5097,4279,6218970,4860240,0,25716210367561,114,0,855,4242,970,3309,0,0,0,0,0,0,0,0,1243920
7,4840,4022,6005340,4690940,0,25716210817543,82,0,742,4098,826,3196,0,0,0,0,0,0,0,0,1078940
8,4957,4139,6110380,4760230,0,25723975193484,108,0,788,4169,897,3242,0,0,0,0,0,0,0,0,1146100
9,10523,5615,13258620,5782630,0,25716267251918,211,0,1472,9051,1689,3926,0,0,0,0,0,0,0,0,1460000
10,18404,11042,21106940,9603380,0,25708567806664,492,0,4030,14374,4558,6484,0,0,0,0,0,0,0,0,1460000
11,7982,5528,9541610,5787170,0,25708518362081,117,0,1477,6505,1597,3931,0,0,0,0,0,0,0,0,1460000
12,240,1045,7200,1525700,0,8781854080679,0,6,240,0,0,1045,0,0,0,0,0,0,0,0,0
13,200,1009,6000,1473140,0,8343547101841,0,9,200,0,0,1009,0,0,0,0,0,0,0,0,0
14,141,944,4230,1378240,0,8331293620073,0,11,141,0,0,944,0,0,0,0,0,0,0,0,0
15,168,978,5040,1427880,0,8782783468644,0,6,168,0,0,978,0,0,0,0,0,0,0,0,0
16,270,1073,8100,1566580,0,8405606036169,0,6,270,0,0,1073,0,0,0,0,0,0,0,0,0
17,212,1018,6360,1486280,0,8334246243379,0,9,212,0,0,1018,0,0,0,0,0,0,0,0,0
18,260,1068,7800,1559280,0,8765977106345,0,8,260,0,0,1068,0,0,0,0,0,0,0,0,0
19,192,991,5760,1446860,0,8256443673140,0,15,192,0,0,991,0,0,0,0,0,0,0,0,0
20,308,1104,9240,1611840,0,8289003725202,0,13,308,0,0,1104,0,0,0,0,0,0,0,0,0
21,273,1076,8190,1570960,0,8768381721211,0,11,273,0,0,1076,0,0,0,0,0,0,0,0,0
22,146,957,4380,1397220,0,8393486745420,0,5,146,0,0,957,0,0,0,0,0,0,0,0,0
23,231,1037,6930,1514020,0,8327056353074,0,10,231,0,0,1037,0,0,0,0,0,0,0,0,0
24,221,1022,6630,1492120,0,8748167878699,0,11,221,0,0,1022,0,0,0,0,0,0,0,0,0
25,236,1043,7080,1522780,0,8383133319993,0,6,236,0,0,1043,0,0,0,0,0,0,0,0,0
26,260,1057,7800,1543220,0,8284848619039,0,14,260,0,0,1057,0,0,0,0,0,0,0,0,0
27,266,1070,7980,1562200,0,8721015842211,0,9,266,0,0,1070,0,0,0,0,0,0,0,0,0
28,189,997,5670,1455620,0,8388601899549,0,6,189,0,0,997,0,0,0,0,0,0,0,0,0
29,221,1023,6630,1493580,0,8324638157819,0,12,221,0,0,1023,0,0,0,0,0,0,0,0,0
30,183,992,5490,1448320,0,8801091051469,0,7,183,0,0,992,0,0,0,0,0,0,0,0,0
31,240,1045,7200,1525700,0,8394321594965,0,7,240,0,0,1045,0,0,0,0,0,0,0,0,0
32,193,1002,5790,1462920,0,8332961361529,0,8,193,0,0,1002,0,0,0,0,0,0,0,0,0
33,249,1058,7470,1544680,0,8800836604536,0,5,249,0,0,1058,0,0,0,0,0,0,0,0,0
34,265,1062,7950,1550520,0,8250145660252,0,15,265,0,0,1062,0,0,0,0,0,0,0,0,0
35,196,999,5880,1458540,0,8372973487057,0,8,196,0,0,999,0,0,0,0,0,0,0,0,0
36,224,1032,6720,1506720,0,8765600101217,0,7,224,0,0,1032,0,0,0,0,0,0,0,0,0
37,130,930,3900,1357800,0,8349693990061,0,12,130,0,0,930,0,0,0,0,0,0,0,0,0
38,248,1052,7440,1535920,0,8337995564150,0,9,248,0,0,1052,0,0,0,0,0,0,0,0,0
39,185,990,5550,1445400,0,8770060561369,0,10,185,0,0,990,0,0,0,0,0,0,0,0,0
40,229,1033,6870,1508180,0,8349955751812,0,9,229,0,0,1033,0,0,0,0,0,0,0,0,0
41,123,929,3690,1356340,0,8339926169909,0,8,123,0,0,929,0,0,0,0,0,0,0,0,0
42,209,1013,6270,1478980,0,8716648468613,0,11,209,0,0,1013,0,0,0,0,0,0,0,0,0
43,229,1030,6870,1503800,0,8370647869172,0,7,229,0,0,1030,0,0,0,0,0,0,0,0,0
44,172,983,5160,1435180,0,8376571503633,0,6,172,0,0,983,0,0,0,0,0,0,0,0,0
45,223,1035,6690,1511100,0,8771052248250,0,5,223,0,0,1035,0,0,0,0,0,0,0,0,0
46,298,1102,8940,1608920,0,8362624287542,0,7,298,0,0,1102,0,0,0,0,0,0,0,0,0
47,263,1071,7890,1563660,0,8358044462212,0,6,263,0,0,1071,0,0,0,0,0,0,0,0,0
total ,105594,105123,117211750,116638490,0,562590563567888,2085,314,25843,79751,25763,79360,0,0,0,0,0,0,0,0
