node->nodeId,packet_send,packet_recv,packetSize_send,packetSize_recv,sendToRecv_delay,generateToRecv_delay,cache_hitTimes,packet_lostTimes,interestPacket_send,dataPacket_send,interestPacket_recv,dataPacket_recv,distRequestPacket_send,distAnswerPacket_send,distRequestPacket_recv,distAnswerPacket_recv,fakeInterest_send,fakeData_send,fakeInterest_recv,fakeData_recv,cs_size
1,8199,8196,11970540,245880,0,25678406876603,0,0,0,5742,5742,0,0,0,0,0,0,0,0,0,0
2,21616,21580,19837650,12371970,0,102512211973522,300,0,5742,6048,6048,5742,0,0,0,0,0,0,0,0,1455620
3,6857,6831,5801300,4464900,0,59696441298498,69,0,522,637,637,522,0,0,0,0,0,0,0,0,845340
4,12791,12659,12681730,6378620,0,92665876129731,256,0,1738,2048,2048,1738,0,0,0,0,0,0,0,0,1460000
5,6218,6218,4699620,4613820,0,51061584175798,42,0,639,699,699,639,0,0,0,0,0,0,0,0,978200
6,7238,7204,6067270,4769240,0,59539597520794,58,0,727,815,815,727,0,0,0,0,0,0,0,0,1157780
7,7272,7240,6119770,4757450,0,59193294864023,97,0,718,851,851,718,0,0,0,0,0,0,0,0,1134420
8,7546,7508,6335340,4958540,0,59091939616953,106,0,853,996,996,853,0,0,0,0,0,0,0,0,1346120
9,13484,13363,13746420,6345400,0,101729866487017,212,0,1700,1959,1960,1700,0,0,0,0,0,0,0,0,1460000
10,21252,21134,21494110,10167830,0,127333954441387,473,0,4210,4757,4757,4210,0,0,0,0,0,0,0,0,1460000
11,10129,10065,9397240,5697340,0,76443030169182,86,0,1316,1445,1445,1316,0,0,0,0,0,0,0,0,1460000
12,1007,1005,30210,1467300,0,8823315034698,0,0,193,0,0,191,0,0,0,0,0,0,0,0,0
13,913,907,27390,1324220,0,8332446687656,0,0,106,0,0,100,0,0,0,0,0,0,0,0,0
14,1002,998,30060,1457080,0,8341351659418,0,0,192,0,0,188,0,0,0,0,0,0,0,0,0
15,967,963,29010,1405980,0,8764735252950,0,0,155,0,0,151,0,0,0,0,0,0,0,0,0
16,1101,1095,33030,1598700,0,8330734718486,0,0,295,0,0,289,0,0,0,0,0,0,0,0,0
17,1076,1069,32280,1560740,0,8342594457196,0,0,267,0,0,260,0,0,0,0,0,0,0,0,0
18,1016,1014,30480,1480440,0,8776161228465,0,0,204,0,0,202,0,0,0,0,0,0,0,0,0
19,1039,1034,31170,1509640,0,8264790596947,0,0,234,0,0,229,0,0,0,0,0,0,0,0,0
20,1018,1017,30540,1484820,0,8374853579983,0,0,205,0,0,204,0,0,0,0,0,0,0,0,0
21,1103,1101,33090,1607460,0,8775189890827,0,0,291,0,0,288,0,0,0,0,0,0,0,0,0
22,991,986,29730,1439560,0,8383547303355,0,0,178,0,0,172,0,0,0,0,0,0,0,0,0
23,1050,1047,31500,1528620,0,8374838575530,0,0,239,0,0,235,0,0,0,0,0,0,0,0,0
24,1046,1044,31380,1524240,0,8793053252289,0,0,232,0,0,230,0,0,0,0,0,0,0,0,0
25,981,977,29430,1426420,0,8337222867855,0,0,174,0,0,170,0,0,0,0,0,0,0,0,0
26,1007,1003,30210,1464380,0,8365914564689,0,0,194,0,0,190,0,0,0,0,0,0,0,0,0
27,1034,1031,31020,1505260,0,8776610633840,0,0,222,0,0,219,0,0,0,0,0,0,0,0,0
28,1044,1038,31320,1515480,0,8320338994254,0,0,234,0,0,228,0,0,0,0,0,0,0,0,0
29,1002,1000,30060,1460000,0,8388546174202,0,0,187,0,0,185,0,0,0,0,0,0,0,0,0
30,978,973,29340,1420580,0,8782944449448,0,0,169,0,0,164,0,0,0,0,0,0,0,0,0
31,1080,1075,32400,1569500,0,8327478541446,0,0,273,0,0,268,0,0,0,0,0,0,0,0,0
32,1112,1103,33360,1610380,0,8389098784285,0,0,300,0,0,290,0,0,0,0,0,0,0,0,0
33,1027,1028,30810,1500880,0,8794106970397,0,0,216,0,0,216,0,0,0,0,0,0,0,0,0
34,1025,1021,30750,1490660,0,8352325972504,0,0,215,0,0,210,0,0,0,0,0,0,0,0,0
35,1076,1073,32280,1566580,0,8292198276265,0,0,271,0,0,267,0,0,0,0,0,0,0,0,0
36,970,968,29100,1413280,0,8810640458541,0,0,157,0,0,155,0,0,0,0,0,0,0,0,0
37,1071,1067,32130,1557820,0,8391746981669,0,0,259,0,0,255,0,0,0,0,0,0,0,0,0
38,1049,1044,31470,1524240,0,8385228396415,0,0,238,0,0,233,0,0,0,0,0,0,0,0,0
39,987,984,29610,1436640,0,8760434996487,0,0,178,0,0,175,0,0,0,0,0,0,0,0,0
40,1080,1070,32400,1562200,0,8374829662147,0,0,267,0,0,257,0,0,0,0,0,0,0,0,0
41,1049,1047,31470,1528620,0,8391170620793,0,0,236,0,0,234,0,0,0,0,0,0,0,0,0
42,985,982,29550,1433720,0,8703260408047,0,0,179,0,0,176,0,0,0,0,0,0,0,0,0
43,1058,1053,31740,1537380,0,8326662766621,0,0,247,0,0,242,0,0,0,0,0,0,0,0,0
44,954,951,28620,1388460,0,8266417291479,0,0,148,0,0,145,0,0,0,0,0,0,0,0,0
45,1051,1046,31530,1527160,0,8752153428496,0,0,241,0,0,236,0,0,0,0,0,0,0,0,0
46,1099,1094,32970,1597240,0,8354809441202,0,0,290,0,0,285,0,0,0,0,0,0,0,0,0
47,1035,1030,31050,1503800,0,8284033136378,0,0,228,0,0,223,0,0,0,0,0,0,0,0,0
total ,159685,158936,119263480,118700470,0,1120551989608768,1699,0,26079,25997,25998,25927,0,0,0,0,0,0,0,0
