node->nodeId,packet_send,packet_recv,packetSize_send,packetSize_recv,sendToRecv_delay,generateToRecv_delay,cache_hitTimes,packet_lostTimes,commonPacket_recv,videoPacket_recv,commonPacketSize_recv,videoPacketSize_recv,request_commonPacket_recv,request_videoPacket_recv,request_commonPacketSize_recv,request_videoPacketSize_recv,_commonPacket_send,_videoPacket_send,_commonPacketSize_send,_videoPacketSize_send,Packet_send,et_send,Packet_recv,et_recv,fakeInterest_send,fakeData_send,fakeInterest_recv,fakeData_recv,cs_size
1,1047,1127,1528620,33810,0,9378991845,0,0,73,1054,2190,31620,0,0,0,0,73,974,106580,1422040,0,1047,1127,0,0,0,0,0,0
2,2699,2705,2328930,1578360,0,3156848828072,34,0,220,2485,110990,1467370,0,0,0,0,220,2479,216810,2112120,1127,1572,1658,1047,0,0,0,0,146000
3,1060,1008,31800,1471680,0,2195049058759,0,0,73,935,106580,1365100,73,487,106580,711020,74,986,2220,29580,1060,0,0,1008,0,0,0,0,146000
4,1059,1011,31770,1476060,0,2202742713184,0,0,73,938,106580,1369480,73,487,106580,711020,73,986,2190,29580,1059,0,0,1011,0,0,0,0,146000
5,1612,1618,1495520,849340,0,2038266794791,0,0,146,1472,108770,740570,0,0,0,0,146,1466,108770,1386750,600,1012,1058,560,0,0,0,0,146000
total ,7477,7469,5416640,5409250,0,9602286386651,34,0,585,6884,435110,4974140,146,974,213160,1422040,585,6884,435110,4974140,3846,3631,3843,3626,0,0,0,0
node->nodeId,packet_send,packet_recv,packetSize_send,packetSize_recv,sendToRecv_delay,generateToRecv_delay,cache_hitTimes,packet_lostTimes,commonPacket_recv,videoPacket_recv,commonPacketSize_recv,videoPacketSize_recv,request_commonPacket_recv,request_videoPacket_recv,request_commonPacketSize_recv,request_videoPacketSize_recv,_commonPacket_send,_videoPacket_send,_commonPacketSize_send,_videoPacketSize_send,Packet_send,et_send,Packet_recv,et_recv,fakeInterest_send,fakeData_send,fakeInterest_recv,fakeData_recv,cs_size
1,1047,1127,1528620,33810,0,9378991845,0,0,73,1054,2190,31620,0,0,0,0,73,974,106580,1422040,0,1047,1127,0,0,0,0,0,0
2,2699,2705,2328930,1578360,0,3156848828072,34,0,220,2485,110990,1467370,0,0,0,0,220,2479,216810,2112120,1127,1572,1658,1047,0,0,0,0,146000
3,1060,1008,31800,1471680,0,2195049058759,0,0,73,935,106580,1365100,73,487,106580,711020,74,986,2220,29580,1060,0,0,1008,0,0,0,0,146000
4,1059,1011,31770,1476060,0,2202742713184,0,0,73,938,106580,1369480,73,487,106580,711020,73,986,2190,29580,1059,0,0,1011,0,0,0,0,146000
5,1612,1618,1495520,849340,0,2038266794791,0,0,146,1472,108770,740570,0,0,0,0,146,1466,108770,1386750,600,1012,1058,560,0,0,0,0,146000
total ,7477,7469,5416640,5409250,0,9602286386651,34,0,585,6884,435110,4974140,146,974,213160,1422040,585,6884,435110,4974140,3846,3631,3843,3626,0,0,0,0
node->nodeId,packet_send,packet_recv,packetSize_send,packetSize_recv,sendToRecv_delay,generateToRecv_delay,cache_hitTimes,packet_lostTimes,commonPacket_recv,videoPacket_recv,commonPacketSize_recv,videoPacketSize_recv,request_commonPacket_recv,request_videoPacket_recv,request_commonPacketSize_recv,request_videoPacketSize_recv,_commonPacket_send,_videoPacket_send,_commonPacketSize_send,_videoPacketSize_send,Packet_send,et_send,Packet_recv,et_recv,fakeInterest_send,fakeData_send,fakeInterest_recv,fakeData_recv,cs_size
1,1047,1127,1528620,33810,0,9378991845,0,0,73,1054,2190,31620,0,0,0,0,73,974,106580,1422040,0,1047,1127,0,0,0,0,0,0
2,2699,2705,2328930,1578360,0,3156848828072,34,0,220,2485,110990,1467370,0,0,0,0,220,2479,216810,2112120,1127,1572,1658,1047,0,0,0,0,146000
3,1060,1008,31800,1471680,0,2195049058759,0,0,73,935,106580,1365100,73,487,106580,711020,74,986,2220,29580,1060,0,0,1008,0,0,0,0,146000
4,1059,1011,31770,1476060,0,2202742713184,0,0,73,938,106580,1369480,73,487,106580,711020,73,986,2190,29580,1059,0,0,1011,0,0,0,0,146000
5,1612,1618,1495520,849340,0,2038266794791,0,0,146,1472,108770,740570,0,0,0,0,146,1466,108770,1386750,600,1012,1058,560,0,0,0,0,146000
total ,7477,7469,5416640,5409250,0,9602286386651,34,0,585,6884,435110,4974140,146,974,213160,1422040,585,6884,435110,4974140,3846,3631,3843,3626,0,0,0,0
