node->getNodeTime(),      generateToRecv_Delay,      sendToRecv_Delay,      ccnMsg->msg_chunk_num
1003421858,      11422200,      20001,      1,  0
1546143503,      11422200,      20001,      2,  0
1819559574,      11422200,      20001,      3,  0
2066135918,      11422200,      20001,      4,  0
2405975820,      11422200,      20001,      5,  0
2693203125,      11422200,      20001,      6,  0
3254884852,      11422200,      20001,      7,  0
3668689371,      11422200,      20001,      8,  0
3851646084,      11422200,      20001,      9,  0
3976061711,      11422200,      20001,      10,  0
4156976303,      11422200,      20001,      11,  0
4346976773,      11422200,      20001,      12,  0
4524414869,      11422200,      20001,      13,  0
5107912403,      11422200,      20001,      14,  0
5464354417,      11422200,      20001,      15,  0
5867379746,      11422200,      20001,      16,  0
6282044165,      11422200,      20001,      17,  0
6629446136,      11422200,      20001,      18,  0
6882909977,      11422200,      20001,      19,  0
7245805231,      11422200,      20001,      20,  0
7549592043,      11422200,      20001,      21,  0
7798756692,      11422200,      20001,      22,  0
8292925587,      11422200,      20001,      23,  0
8442315252,      11422200,      20001,      24,  0
8804860279,      11422200,      20001,      25,  0
9011462587,      11422200,      20001,      26,  0
9544179258,      11422200,      20001,      27,  0
9690960099,      11422200,      20001,      28,  0
10021598350,      11422200,      20001,      29,  0
10249722744,      11422200,      20001,      30,  0
10788034355,      11422200,      20001,      31,  0
11029420593,      11422200,      20001,      32,  0
11321517292,      11422200,      20001,      33,  0
11677773814,      11422200,      20001,      34,  0
12042940339,      11422200,      20001,      35,  0
12364204624,      11422200,      20001,      36,  0
12915878960,      11422200,      20001,      37,  0
13165500837,      11422200,      20001,      38,  0
13581298939,      11422200,      20001,      39,  0
14019467780,      11422200,      20001,      40,  0
14341884615,      11422200,      20001,      41,  0
14846087365,      11422200,      20001,      42,  0
15070339000,      11899906,      20001,      43,  0
15350349569,      11422200,      20001,      44,  0
15914011536,      11422200,      20001,      45,  0
16337903983,      11422200,      20001,      46,  0
16660066377,      11422200,      20001,      47,  0
16963015987,      11422200,      20001,      48,  0
