node->nodeId,packet_send,packet_recv,packetSize_send,packetSize_recv,sendToRecv_delay,generateToRecv_delay,cache_hitTimes,packet_lostTimes,interestPacket_send,dataPacket_send,interestPacket_recv,dataPacket_recv,distRequestPacket_send,distAnswerPacket_send,distRequestPacket_recv,distAnswerPacket_recv,fakeInterest_send,fakeData_send,fakeInterest_recv,fakeData_recv,cs_size
1,8535,8622,12461100,258660,0,26397595122,0,0,0,8535,8622,0,0,0,0,0,0,0,0,0,0
2,22394,22548,20365780,12881490,0,3157186461794,318,0,8622,13772,14013,8535,0,0,0,0,0,0,0,0,1460000
3,7637,7656,6262280,5005880,0,3219622243907,25,0,3418,4219,4316,3340,0,0,0,0,0,0,0,0,1460000
4,12209,12315,12168060,5917850,0,3298391678836,222,0,3956,8253,8435,3880,0,0,0,0,0,0,0,0,1460000
5,6247,6247,4647580,4568930,0,3235680836962,18,0,3128,3119,3183,3064,0,0,0,0,0,0,0,0,1460000
6,7690,7717,6301050,5060620,0,3239658924699,9,0,3445,4245,4340,3377,0,0,0,0,0,0,0,0,1460000
7,7242,7268,5988740,4698230,0,3223635192305,57,0,3206,4036,4135,3133,0,0,0,0,0,0,0,0,1460000
8,7070,7088,5874900,4574140,0,3264903501511,45,0,3110,3960,4038,3050,0,0,0,0,0,0,0,0,1460000
9,13677,13808,13757930,6524630,0,3374973997182,98,0,4343,9334,9535,4273,0,0,0,0,0,0,0,0,1460000
10,20845,21055,21120110,9825120,0,3303208439281,485,0,6513,14332,14626,6429,0,0,0,0,0,0,0,0,1460000
11,10592,10654,9627060,6043910,0,3177150450637,50,0,4082,6510,6651,4003,0,0,0,0,0,0,0,0,1460000
12,1059,1016,31770,1483360,0,1069197675092,0,0,1059,0,0,1016,0,0,0,0,0,0,0,0,0
13,1064,1017,31920,1484820,0,996857356630,0,0,1064,0,0,1017,0,0,0,0,0,0,0,0,0
14,1090,1042,32700,1521320,0,1059368483596,0,0,1090,0,0,1042,0,0,0,0,0,0,0,0,0
15,1147,1098,34410,1603080,0,1061379100461,0,0,1147,0,0,1098,0,0,0,0,0,0,0,0,0
16,1007,964,30210,1407440,0,1001152162160,0,0,1007,0,0,964,0,0,0,0,0,0,0,0,0
17,1073,1029,32190,1502340,0,1059755526262,0,0,1073,0,0,1029,0,0,0,0,0,0,0,0,0
18,1107,1064,33210,1553440,0,1070245190164,0,0,1107,0,0,1064,0,0,0,0,0,0,0,0,0
19,1075,1026,32250,1497960,0,999937271856,0,0,1075,0,0,1026,0,0,0,0,0,0,0,0,0
20,1112,1068,33360,1559280,0,1060782562652,0,0,1112,0,0,1068,0,0,0,0,0,0,0,0,0
21,1049,1006,31470,1468760,0,1072573617057,0,0,1049,0,0,1006,0,0,0,0,0,0,0,0,0
22,1116,1069,33480,1560740,0,1010465412948,0,0,1116,0,0,1069,0,0,0,0,0,0,0,0,0
23,1058,1011,31740,1476060,0,1065320106021,0,0,1058,0,0,1011,0,0,0,0,0,0,0,0,0
24,1055,1011,31650,1476060,0,1067250929248,0,0,1055,0,0,1011,0,0,0,0,0,0,0,0,0
25,1179,1133,35370,1654180,0,1003637682067,0,0,1179,0,0,1133,0,0,0,0,0,0,0,0,0
26,1022,971,30660,1417660,0,1057305096067,0,0,1022,0,0,971,0,0,0,0,0,0,0,0,0
27,1133,1089,33990,1589940,0,1071547716336,0,0,1133,0,0,1089,0,0,0,0,0,0,0,0,0
28,1035,994,31050,1451240,0,1000727963783,0,0,1035,0,0,994,0,0,0,0,0,0,0,0,0
29,1027,984,30810,1436640,0,1061521148844,0,0,1027,0,0,984,0,0,0,0,0,0,0,0,0
30,1046,1003,31380,1464380,0,1066008381347,0,0,1046,0,0,1003,0,0,0,0,0,0,0,0,0
31,1070,1026,32100,1497960,0,997468124168,0,0,1070,0,0,1026,0,0,0,0,0,0,0,0,0
32,1039,999,31170,1458540,0,1064019418814,0,0,1039,0,0,999,0,0,0,0,0,0,0,0,0
33,1025,983,30750,1435180,0,1070469725956,0,0,1025,0,0,983,0,0,0,0,0,0,0,0,0
34,1033,989,30990,1443940,0,1006639592272,0,0,1033,0,0,989,0,0,0,0,0,0,0,0,0
35,975,933,29250,1362180,0,1062482172348,0,0,975,0,0,933,0,0,0,0,0,0,0,0,0
36,1066,1022,31980,1492120,0,1065031322921,0,0,1066,0,0,1022,0,0,0,0,0,0,0,0,0
37,1042,996,31260,1454160,0,1001372068024,0,0,1042,0,0,996,0,0,0,0,0,0,0,0,0
38,1056,1012,31680,1477520,0,1063633588130,0,0,1056,0,0,1012,0,0,0,0,0,0,0,0,0
39,1119,1073,33570,1566580,0,1068836370152,0,0,1119,0,0,1073,0,0,0,0,0,0,0,0,0
40,1120,1075,33600,1569500,0,1003701183629,0,0,1120,0,0,1075,0,0,0,0,0,0,0,0,0
41,1072,1030,32160,1503800,0,1058970637595,0,0,1072,0,0,1030,0,0,0,0,0,0,0,0,0
42,1110,1068,33300,1559280,0,1063089763104,0,0,1110,0,0,1068,0,0,0,0,0,0,0,0,0
43,1018,977,30540,1426420,0,995996810521,0,0,1018,0,0,977,0,0,0,0,0,0,0,0,0
44,1031,985,30930,1438100,0,1065604145998,0,0,1031,0,0,985,0,0,0,0,0,0,0,0,0
45,1022,979,30660,1429340,0,1063322490427,0,0,1022,0,0,979,0,0,0,0,0,0,0,0,0
