node->nodeId,packet_send,packet_recv,packetSize_send,packetSize_recv,sendToRecv_delay,generateToRecv_delay,cache_hitTimes,packet_lostTimes,interestPacket_send,dataPacket_send,interestPacket_recv,dataPacket_recv,distRequestPacket_send,distAnswerPacket_send,distRequestPacket_recv,distAnswerPacket_recv,fakeInterest_send,fakeData_send,fakeInterest_recv,fakeData_recv,cs_size
1,8090,5636,11811400,169080,0,27288360,0,0,0,8090,5636,0,0,0,0,0,0,0,0,0,0
2,19047,14139,19749140,11992870,0,25700863111533,407,0,5636,13411,6049,8090,0,0,0,0,0,0,0,0,1460000
3,4507,3689,5832330,4367780,0,25708529912308,188,0,523,3984,712,2977,0,0,0,0,0,0,0,0,759200
4,10033,5943,12328720,6006970,0,25716287144171,240,0,1622,8411,1867,4076,0,0,0,0,0,0,0,0,1460000
5,3641,3641,4509340,4424970,0,25723984861963,59,0,564,3077,623,3018,0,0,0,0,0,0,0,0,819060
6,4773,3955,5944700,4651750,0,25721524714088,68,0,716,4057,785,3170,0,0,0,0,0,0,0,0,1040980
7,5024,4206,6108100,4862340,0,25716277981679,35,0,858,4166,894,3312,0,0,0,0,0,0,0,0,1248300
8,4847,4029,6034150,4672560,0,25723984573761,116,0,729,4118,846,3183,0,0,0,0,0,0,0,0,1059960
9,10890,5982,13595670,5992410,0,25716296412065,267,0,1611,9279,1917,4065,0,0,0,0,0,0,0,0,1460000
10,18460,11098,21078590,9715170,0,25708589108607,409,0,4107,14353,4537,6561,0,0,0,0,0,0,0,0,1460000
11,7901,5447,9506290,5701800,0,25708574729585,152,0,1419,6482,1574,3873,0,0,0,0,0,0,0,0,1460000
12,237,1044,7110,1524240,0,8805500335975,0,4,237,0,0,1044,0,0,0,0,0,0,0,0,0
13,160,964,4800,1407440,0,8371992279774,0,9,160,0,0,964,0,0,0,0,0,0,0,0,0
14,134,945,4020,1379700,0,8377381188951,0,4,134,0,0,945,0,0,0,0,0,0,0,0,0
15,194,999,5820,1458540,0,8760186572522,0,7,194,0,0,999,0,0,0,0,0,0,0,0,0
16,216,1026,6480,1497960,0,8384883796444,0,4,216,0,0,1026,0,0,0,0,0,0,0,0,0
17,164,970,4920,1416200,0,8346046640645,0,9,164,0,0,970,0,0,0,0,0,0,0,0,0
18,223,1028,6690,1500880,0,8712254331355,0,10,223,0,0,1028,0,0,0,0,0,0,0,0,0
19,235,1040,7050,1518400,0,8391097060053,0,6,235,0,0,1040,0,0,0,0,0,0,0,0,0
20,312,1116,9360,1629360,0,8317204588612,0,8,312,0,0,1116,0,0,0,0,0,0,0,0,0
21,221,1024,6630,1495040,0,8751913022663,0,10,221,0,0,1024,0,0,0,0,0,0,0,0,0
22,182,988,5460,1442480,0,8384745312988,0,6,182,0,0,988,0,0,0,0,0,0,0,0,0
23,230,1039,6900,1516940,0,8367159744473,0,6,230,0,0,1039,0,0,0,0,0,0,0,0,0
24,277,1081,8310,1578260,0,8757637628042,0,8,277,0,0,1081,0,0,0,0,0,0,0,0,0
25,181,985,5430,1438100,0,8331321189648,0,11,181,0,0,985,0,0,0,0,0,0,0,0,0
26,156,965,4680,1408900,0,8338373449769,0,8,156,0,0,965,0,0,0,0,0,0,0,0,0
27,175,987,5250,1441020,0,8814600978781,0,3,175,0,0,987,0,0,0,0,0,0,0,0,0
28,204,1002,6120,1462920,0,8294688115409,0,16,204,0,0,1002,0,0,0,0,0,0,0,0,0
29,250,1050,7500,1533000,0,8301001845940,0,12,250,0,0,1050,0,0,0,0,0,0,0,0,0
30,274,1077,8220,1572420,0,8762794694188,0,8,274,0,0,1077,0,0,0,0,0,0,0,0,0
31,178,978,5340,1427880,0,8342699110724,0,12,178,0,0,978,0,0,0,0,0,0,0,0,0
32,225,1034,6750,1509640,0,8329110473757,0,8,225,0,0,1034,0,0,0,0,0,0,0,0,0
33,256,1056,7680,1541760,0,8734614247507,0,12,256,0,0,1056,0,0,0,0,0,0,0,0,0
34,178,986,5340,1439560,0,8371925789060,0,7,178,0,0,986,0,0,0,0,0,0,0,0,0
35,190,993,5700,1449780,0,8333005159410,0,13,190,0,0,993,0,0,0,0,0,0,0,0,0
36,199,1004,5970,1465840,0,8744978249562,0,11,199,0,0,1004,0,0,0,0,0,0,0,0,0
37,177,981,5310,1432260,0,8317171328572,0,9,177,0,0,981,0,0,0,0,0,0,0,0,0
38,248,1052,7440,1535920,0,8331509458047,0,10,248,0,0,1052,0,0,0,0,0,0,0,0,0
39,243,1045,7290,1525700,0,8719455488224,0,10,243,0,0,1045,0,0,0,0,0,0,0,0,0
40,238,1038,7140,1515480,0,8331660803459,0,13,238,0,0,1038,0,0,0,0,0,0,0,0,0
41,258,1059,7740,1546140,0,8330703298494,0,10,258,0,0,1059,0,0,0,0,0,0,0,0,0
42,212,1020,6360,1489200,0,8807626616168,0,5,212,0,0,1020,0,0,0,0,0,0,0,0,0
43,237,1047,7110,1528620,0,8398059822552,0,5,237,0,0,1047,0,0,0,0,0,0,0,0,0
44,115,928,3450,1354880,0,8404709052290,0,3,115,0,0,928,0,0,0,0,0,0,0,0,0
45,285,1083,8550,1581180,0,8710640612828,0,12,285,0,0,1083,0,0,0,0,0,0,0,0,0
46,263,1069,7890,1560740,0,8393882319806,0,7,263,0,0,1069,0,0,0,0,0,0,0,0,0
47,207,1013,6210,1478980,0,8365328533134,0,8,207,0,0,1013,0,0,0,0,0,0,0,0,0
total ,104947,104481,116730450,116163060,0,562682802977946,1941,304,25519,79428,25440,79041,0,0,0,0,0,0,0,0
