node->nodeId,packet_send,packet_recv,packetSize_send,packetSize_recv,sendToRecv_delay,generateToRecv_delay,cache_hitTimes,packet_lostTimes,interestPacket_send,dataPacket_send,interestPacket_recv,dataPacket_recv,distRequestPacket_send,distAnswerPacket_send,distRequestPacket_recv,distAnswerPacket_recv,fakeInterest_send,fakeData_send,fakeInterest_recv,fakeData_recv,cs_size
1,8572,8569,12515120,257070,0,25678509647951,0,0,0,6115,6115,0,0,0,0,0,0,0,0,0,0
2,22443,22405,20511680,12930110,0,102492474333617,381,0,6115,6502,6502,6115,0,0,0,0,0,0,0,0,1455620
3,7412,7378,6214060,4880280,0,59581257013902,75,0,801,914,914,801,0,0,0,0,0,0,0,0,1264360
4,12461,12340,12475920,6091630,0,92742434878234,311,0,1544,1911,1911,1544,0,0,0,0,0,0,0,0,1460000
5,6316,6316,4795510,4683970,0,50968646743398,33,0,686,764,764,686,0,0,0,0,0,0,0,0,1067260
6,7618,7588,6383260,4999550,0,59746822700472,123,0,880,1028,1028,880,0,0,0,0,0,0,0,0,1356340
7,7141,7105,6038620,4661880,0,59060792097918,106,0,654,797,797,654,0,0,0,0,0,0,0,0,1065800
8,7497,7468,6242350,4974500,0,59156150919554,38,0,865,932,932,865,0,0,0,0,0,0,0,0,1344660
9,13811,13673,14015060,6563480,0,101507549135027,237,0,1846,2140,2140,1846,0,0,0,0,0,0,0,0,1460000
10,21265,21156,21527390,10155620,0,127481027752679,516,0,4201,4780,4780,4201,0,0,0,0,0,0,0,0,1460000
11,10402,10339,9532700,5968680,0,76476041078169,31,0,1500,1534,1534,1500,0,0,0,0,0,0,0,0,1460000
12,1099,1094,32970,1597240,0,8769589982045,0,0,288,0,0,283,0,0,0,0,0,0,0,0,0
13,1042,1037,31260,1514020,0,8383390897056,0,0,230,0,0,225,0,0,0,0,0,0,0,0,0
14,1047,1042,31410,1521320,0,8319661678488,0,0,244,0,0,239,0,0,0,0,0,0,0,0,0
15,968,967,29040,1411820,0,8756547231706,0,0,157,0,0,156,0,0,0,0,0,0,0,0,0
16,928,924,27840,1349040,0,8258332232455,0,0,126,0,0,122,0,0,0,0,0,0,0,0,0
17,1047,1045,31410,1525700,0,8363354670541,0,0,234,0,0,232,0,0,0,0,0,0,0,0,0
18,986,985,29580,1438100,0,8783030213652,0,0,174,0,0,173,0,0,0,0,0,0,0,0,0
19,1010,1007,30300,1470220,0,8362605392978,0,0,202,0,0,199,0,0,0,0,0,0,0,0,0
20,1132,1127,33960,1645420,0,8317018492927,0,0,323,0,0,318,0,0,0,0,0,0,0,0,0
21,1075,1070,32250,1562200,0,8756926434406,0,0,266,0,0,260,0,0,0,0,0,0,0,0,0
22,1043,1037,31290,1514020,0,8362477106177,0,0,233,0,0,226,0,0,0,0,0,0,0,0,0
23,1079,1078,32370,1573880,0,8349620493479,0,0,271,0,0,269,0,0,0,0,0,0,0,0,0
24,1073,1070,32190,1562200,0,8771154830923,0,0,261,0,0,258,0,0,0,0,0,0,0,0,0
25,1035,1031,31050,1505260,0,8395084516305,0,0,221,0,0,217,0,0,0,0,0,0,0,0,0
26,1112,1107,33360,1616220,0,8410588326144,0,0,297,0,0,292,0,0,0,0,0,0,0,0,0
27,1071,1067,32130,1557820,0,8779800427205,0,0,260,0,0,256,0,0,0,0,0,0,0,0,0
28,996,992,29880,1448320,0,8308446575698,0,0,187,0,0,183,0,0,0,0,0,0,0,0,0
29,1068,1065,32040,1554900,0,8381265446377,0,0,254,0,0,251,0,0,0,0,0,0,0,0,0
30,936,932,28080,1360720,0,8733272125991,0,0,126,0,0,122,0,0,0,0,0,0,0,0,0
31,1045,1036,31350,1512560,0,8334854983104,0,0,238,0,0,229,0,0,0,0,0,0,0,0,0
32,1078,1069,32340,1560740,0,8344352363315,0,0,269,0,0,259,0,0,0,0,0,0,0,0,0
33,1098,1090,32940,1591400,0,8750257597007,0,0,288,0,0,279,0,0,0,0,0,0,0,0,0
34,1032,1026,30960,1497960,0,8430582134155,0,0,216,0,0,209,0,0,0,0,0,0,0,0,0
35,982,981,29460,1432260,0,8311444445076,0,0,175,0,0,173,0,0,0,0,0,0,0,0,0
36,1038,1034,31140,1509640,0,8768303965594,0,0,228,0,0,224,0,0,0,0,0,0,0,0,0
37,1108,1104,33240,1611840,0,8345757371990,0,0,297,0,0,293,0,0,0,0,0,0,0,0,0
38,1069,1062,32070,1550520,0,8332773874126,0,0,260,0,0,253,0,0,0,0,0,0,0,0,0
39,1047,1042,31410,1521320,0,8818676856697,0,0,233,0,0,228,0,0,0,0,0,0,0,0,0
40,1066,1060,31980,1547600,0,8372803547597,0,0,253,0,0,247,0,0,0,0,0,0,0,0,0
41,1004,1001,30120,1461460,0,8289826679794,0,0,200,0,0,197,0,0,0,0,0,0,0,0,0
42,1036,1030,31080,1503800,0,8692890776342,0,0,232,0,0,226,0,0,0,0,0,0,0,0,0
43,991,989,29730,1443940,0,8357581897868,0,0,180,0,0,178,0,0,0,0,0,0,0,0,0
44,1051,1048,31530,1530080,0,8361809036027,0,0,239,0,0,236,0,0,0,0,0,0,0,0,0
45,1090,1085,32700,1584100,0,8774602384277,0,0,277,0,0,272,0,0,0,0,0,0,0,0,0
46,1097,1093,32910,1595780,0,8347710451901,0,0,289,0,0,285,0,0,0,0,0,0,0,0,0
47,1000,995,30000,1452700,0,8360958560218,0,0,187,0,0,182,0,0,0,0,0,0,0,0,0
total ,162517,161759,121379040,120802890,0,1120449060300562,1851,0,27507,27417,27417,27343,0,0,0,0,0,0,0,0
